MAZ2010,TOTAL_HOUSEHOLDS,TOTAL_GQ
1863,234,0
1864,104,0
1865,2,328
1866,0,0
1867,0,2
1868,0,0
1869,275,9
1870,3,0
1871,0,62
1872,0,0
1873,0,0
1874,0,0
1875,410,0
1876,0,0
1877,1,32
1878,0,0
1879,26,30
1880,0,0
1881,0,0
1882,0,116
1883,164,231
1884,86,0
1885,299,3
1886,275,0
1887,132,0
1888,199,0
1889,577,0
1890,137,0
1891,245,94
1892,0,0
1893,53,205
1894,20,0
1895,145,0
1896,290,0
1897,159,0
1898,163,0
1899,65,3
1900,232,0
1901,101,0
1902,86,15
1903,198,66
1904,152,0
1905,5,2
1906,63,1
1907,194,0
1908,28,0
1909,0,0
1910,122,0
1911,54,0
1912,13,0
1913,0,0
1914,0,0
1915,208,14
1916,318,0
1917,26,0
1918,90,0
1919,94,0
1920,265,0
1921,152,0
1922,151,0
1923,97,0
1924,109,0
1925,0,0
1926,0,0
1927,131,36
1928,0,0
1929,876,0
1930,332,0
1931,186,0
1932,7,0
1933,0,0
1934,46,0
1935,5,19
1936,2,0
1937,26,334
1938,184,0
1939,0,0
1940,89,0
1941,91,0
1942,77,0
1943,257,0
1944,825,0
1945,90,0
1946,401,138
1947,713,0
1948,770,5
1949,100,0
1950,356,0
1951,210,0
1952,115,0
1953,702,0
1954,406,0
1955,455,0
1956,71,0
1957,170,277
1958,322,0
1959,36,0
1960,0,0
1961,6,0
1962,505,0
1963,477,0
1964,966,0
1965,54,0
1966,670,0
1967,657,0
1968,894,93
1969,0,0
1970,322,0
1971,0,0
1972,0,0
1973,308,0
1974,15,0
1975,0,0
1976,153,0
1977,10,0
1978,138,0
1979,3,3
1980,97,0
1981,534,0
1982,0,0
1983,500,45
1984,212,3
1985,32,0
1986,46,2
1987,151,0
1988,0,0
1989,0,0
1990,0,11
1991,244,0
1992,612,0
1993,316,400
1994,315,1
1995,20,0
1996,2,0
1997,55,18
1998,49,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,255,0
2005,149,3
2006,0,1599
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,24,0
2016,8,0
2017,13,0
2018,39,0
2019,19,7
2020,0,0
2021,478,0
2022,606,0
2023,3,0
2024,1,0
2025,144,0
2026,460,0
2027,85,0
2028,29,0
2029,11,0
2030,0,0
2031,4,0
2032,4,0
2033,36,0
2034,16,0
2035,129,0
2036,11,0
2037,37,0
2038,192,0
2039,1,0
2040,0,0
2041,0,0
2042,243,0
2043,721,0
2044,55,0
2045,0,0
2046,866,0
2047,0,0
2048,0,0
2049,0,0
2050,0,9
2051,5,29
2052,633,0
2053,207,0
2054,170,0
2055,484,9
2056,283,16
2057,458,0
2058,592,0
2059,515,0
2060,435,20
2061,354,0
2062,226,0
2063,731,0
2064,40,0
2065,33,0
2066,987,0
2067,200,0
2068,0,0
2069,1363,0
2070,0,0
2071,1,0
2072,308,0
2073,628,0
2074,1041,0
2075,502,0
2076,0,0
2077,981,0
2078,876,0
2079,296,0
2080,0,0
2081,508,0
2082,0,0
2083,0,0
2084,1171,0
2085,0,0
2086,541,0
2087,63,0
2088,416,0
2089,70,0
2090,354,0
2091,233,0
2092,329,3
2093,233,6
2094,451,16
2095,198,1
2096,487,10
2097,453,0
2098,115,0
2099,243,14
2100,120,0
2101,83,0
2102,413,0
2103,300,0
2104,543,0
2105,82,0
2106,154,0
2107,21,3
2108,103,0
2109,394,0
2110,118,0
2111,7,0
2112,494,0
2113,239,0
2114,663,0
2115,0,0
2116,1086,0
2117,676,0
