MAZ2010,TOTAL_HOUSEHOLDS,TOTAL_GQ
1392,174,0
1393,29,0
1394,0,0
1395,63,0
1396,0,0
1397,161,0
1398,185,0
1399,38,0
1400,184,0
1401,156,0
1402,0,0
1403,219,0
1404,114,0
1405,129,0
1406,136,0
1407,93,0
1408,93,0
1409,0,0
1410,134,0
1411,388,90
1412,164,0
1413,80,0
1414,137,0
1415,158,0
1416,138,0
1417,159,4
1418,90,0
1419,79,0
1420,103,0
1421,100,0
1422,76,0
1423,22,0
1424,4,0
1425,128,0
1426,150,0
1427,140,0
1428,178,0
1429,122,0
1430,100,0
1431,98,0
1432,90,0
1433,121,0
1434,68,0
1435,0,0
1436,155,0
1437,330,0
1438,163,0
1439,26,0
1440,206,3
1441,148,0
1442,173,43
1443,143,0
1444,79,0
1445,146,0
1446,208,3
1447,278,14
1448,185,0
1449,169,0
1450,23,0
1451,130,5
1452,188,0
1453,74,0
1454,251,2
1455,140,3
1456,115,0
1457,217,0
1458,181,0
1459,218,0
1460,90,0
1461,27,0
1462,26,0
1463,109,0
1464,0,0
1465,42,0
1466,96,0
1467,88,0
1468,123,0
1469,23,0
1470,761,0
1471,381,0
1472,152,0
1473,293,0
1474,180,0
1475,343,0
1476,129,0
1477,125,0
1478,131,6
1479,382,0
1480,73,0
1481,164,0
1482,0,0
1483,437,6
1484,253,0
1485,55,0
1486,0,0
1487,204,0
1488,151,0
1489,404,0
1490,540,0
1491,181,0
1492,144,0
1493,119,0
1494,0,0
1495,34,0
1496,127,8
1497,128,0
1498,94,0
1499,47,0
1500,97,0
1501,0,0
1502,91,0
1503,271,19
1504,66,0
1505,0,0
1506,206,0
1507,0,0
1508,97,0
1509,156,0
1510,119,0
1511,99,2
1512,67,0
1513,84,0
1514,129,0
1515,78,0
1516,13,0
1517,9,0
1518,174,0
1519,131,0
1520,34,0
1521,167,0
1522,137,0
1523,180,0
1524,125,0
1525,347,450
1526,75,27
1527,269,0
1528,23,0
1529,8,0
1530,45,0
1531,83,0
1532,326,126
1533,149,0
1534,293,0
1535,164,0
1536,174,0
1537,0,0
1538,149,0
1539,307,0
1540,164,0
1541,233,0
1542,354,0
1543,448,7
1544,260,56
1545,101,0
1546,202,0
1547,127,0
1548,286,0
1549,264,0
1550,4,0
1551,56,91
1552,264,0
